;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;;;;;;Санкт-Петербург;Компания Максим (maxim);https://api.hh.ru/employers/912307;https://hh.ru/vacancy/35129782;RUR;100000.0;200000.0;Android разработчик
1;;;;;;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/36305702;RUR;170000.0;200000.0;Android-разработчик
2;;;;;;Санкт-Петербург;Ленремонт;https://api.hh.ru/employers/1776736;https://hh.ru/vacancy/38305847;RUR;100000.0;;Android-Разработчик
3;;;;;;Санкт-Петербург;КардПэй;https://api.hh.ru/employers/2293860;https://hh.ru/vacancy/38337477;RUR;;180000.0;Android Developer
4;1к2;59.986808;30.305762;Чёрная речка;Торжковская улица;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/37824018;RUR;130000.0;;Android-разработчик (Kotlin)
5;;;;;;Санкт-Петербург;Star-staff;https://api.hh.ru/employers/1111058;https://hh.ru/vacancy/37564402;RUR;180000.0;;Middle+ Android Developer
6;4-6;59.957354;30.343914;Площадь Ленина;Большой Сампсониевский проспект;Санкт-Петербург;МедиаСофт;https://api.hh.ru/employers/1666189;https://hh.ru/vacancy/32614916;RUR;90000.0;140000.0;Middle / Senior Android developer
7;;59.938951;30.315635;;;Санкт-Петербург;Образцов Георгий;https://api.hh.ru/employers/4702358;https://hh.ru/vacancy/38276747;RUR;;100000.0;Android/iOS разработчик
8;;59.972739;30.337356;;Беловодский переулок;Санкт-Петербург;Peter Partner;https://api.hh.ru/employers/4301676;https://hh.ru/vacancy/38013450;RUR;160000.0;;Android Developer (Senior)
9;;59.972739;30.337356;;Беловодский переулок;Санкт-Петербург;Peter Partner;https://api.hh.ru/employers/4301676;https://hh.ru/vacancy/38013483;RUR;100000.0;;Android Developer (Middle/Middle+)
