;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
0;Android Developer;120000.0;270000.0;RUR;Санкт-Петербург;Цифровые привычки;https://api.hh.ru/employers/3280416;https://hh.ru/vacancy/40733062;;Аптекарская набережная;18;30.316425;59.978223
1;Android-разработчик;180000.0;250000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/36305702;;;;;
2;Разработчик мобильных игр/приложений Android и iOS;100000.0;1000000.0;RUR;Санкт-Петербург;Lafa games;https://api.hh.ru/employers/5075578;https://hh.ru/vacancy/40760468;Крымская;Духовской переулок;17с11;37.615371;55.704524
3;Android разработчик;150000.0;170000.0;RUR;Санкт-Петербург;Суши WOK;https://api.hh.ru/employers/1111042;https://hh.ru/vacancy/39976494;Ладожская;Магнитогорская улица;51Е;30.433026;59.93937
4;Разработчик ‎Android;140000.0;250000.0;RUR;Санкт-Петербург;4people;https://api.hh.ru/employers/4446629;https://hh.ru/vacancy/35035206;;;;;
5;Android-разработчик в WorkinGeeks;100000.0;150000.0;RUR;Санкт-Петербург;WorkinGeeks;https://api.hh.ru/employers/4719197;https://hh.ru/vacancy/40323478;;;;;
6;Android разработчик;150000.0;180000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/40521026;Московские ворота;Лиговский проспект;;30.348055;59.911534
7;Android разработчик;;150000.0;RUR;Санкт-Петербург;BetaStudio;https://api.hh.ru/employers/2416234;https://hh.ru/vacancy/40604297;Маяковская;;;;
8;Android разработчик;120000.0;180000.0;RUR;Санкт-Петербург;АВАНГАРД;https://api.hh.ru/employers/557534;https://hh.ru/vacancy/40528648;Беговая;Приморский проспект;54к3;30.233061;59.983756
9;Android разработчик;100000.0;;RUR;Санкт-Петербург;Advertex;https://api.hh.ru/employers/4844395;https://hh.ru/vacancy/40772872;;;;;
10;Android developer;120000.0;;RUR;Санкт-Петербург;AdCombo.com;https://api.hh.ru/employers/1321508;https://hh.ru/vacancy/39707714;;;;;
11;Android - разработчик;90000.0;160000.0;RUR;Санкт-Петербург;Куберто, OOO;https://api.hh.ru/employers/837826;https://hh.ru/vacancy/39958185;;Троицкий проспект;4В;30.304576;59.91567
12;Senior Android Developer;150000.0;200000.0;RUR;Санкт-Петербург;difway.studio;https://api.hh.ru/employers/5016626;https://hh.ru/vacancy/40233952;;;;;
