;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;7-9-11к5;59.942435;30.293662;Адмиралтейская;Университетская набережная;Санкт-Петербург;Дженстек;https://api.hh.ru/employers/1128487;https://hh.ru/vacancy/38794572;RUR;130000.0;250000.0;Java Developer (Bioinformatics)
1;2;59.980709;30.324276;Петроградская;Кантемировская;Санкт-Петербург;ALM Works;https://api.hh.ru/employers/542183;https://hh.ru/vacancy/37250356;RUR;200000.0;;Java Developer
2;;;;;;Санкт-Петербург;Бизнес Технологии;https://api.hh.ru/employers/14809;https://hh.ru/vacancy/39730470;RUR;45000.0;100000.0;Full-stack java разработчик (junior, middle)
3;32;55.740421;37.532071;Кутузовская;Кутузовский проспект;Санкт-Петербург;Цифровые привычки;https://api.hh.ru/employers/3280416;https://hh.ru/vacancy/39567043;RUR;140000.0;180000.0;Java Developer (junior+/middle)
4;2;59.980709;30.324276;Петроградская;Кантемировская;Санкт-Петербург;ALM Works;https://api.hh.ru/employers/542183;https://hh.ru/vacancy/37250355;RUR;239000.0;;Senior Java Developer
5;19;59.936237;30.326199;Гостиный двор;набережная канала Грибоедова;Санкт-Петербург;LW Strategy;https://api.hh.ru/employers/3628738;https://hh.ru/vacancy/39736862;RUR;150000.0;180000.0;Программист Java - web scraping
6;;;;;;Санкт-Петербург;КардПэй;https://api.hh.ru/employers/2293860;https://hh.ru/vacancy/38892074;RUR;150000.0;230000.0;Senior QA Automation (Java)
7;223-225Н;59.909779;30.270737;Нарвская;набережная Обводного канала;Санкт-Петербург;RealTrac Technologies;https://api.hh.ru/employers/1269738;https://hh.ru/vacancy/39827445;RUR;;250000.0;Java-разработчик
8;;;;;;Санкт-Петербург;HR Development;https://api.hh.ru/employers/4508336;https://hh.ru/vacancy/39894251;RUR;140000.0;220000.0;Java developer
9;4К;59.877439;30.36258;Бухарестская;улица Фучика;Санкт-Петербург;ТТ ДЕВЕЛОПМЕНТ;https://api.hh.ru/employers/1309504;https://hh.ru/vacancy/39799286;RUR;120000.0;280000.0;Java Developer
10;;;;Приморская;;Санкт-Петербург;TabTrader BV;https://api.hh.ru/employers/2074531;https://hh.ru/vacancy/39318440;RUR;200000.0;250000.0;Kotlin or Java Developer
11;;;;;;Санкт-Петербург;CSSSR;https://api.hh.ru/employers/1230690;https://hh.ru/vacancy/39767848;RUR;140000.0;170000.0;High middle back-end разработчик (java\kotlin)
