;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;71к2;59.933663;30.439;Проспект Большевиков;Заневский проспект;Санкт-Петербург;Foach;https://api.hh.ru/employers/2727108;https://hh.ru/vacancy/34782633;RUR;100000.0;130000.0;Frontend-developer (React JS material-ui)
1;;;;Спортивная;;Санкт-Петербург;Draewil;https://api.hh.ru/employers/2828853;https://hh.ru/vacancy/34616369;RUR;180000.0;200000.0;Разработчик backend Node.js
2;;;;;;Санкт-Петербург;TeamDirector;https://api.hh.ru/employers/4329042;https://hh.ru/vacancy/34977025;USD;3000.0;5500.0;Senior Node.js Developer (Back-end)
3;2;59.980709;30.324276;Петроградская;Кантемировская;Санкт-Петербург;ALM Works;https://api.hh.ru/employers/542183;https://hh.ru/vacancy/29415268;RUR;200000.0;;Frontend Developer
4;23;59.971231;30.313676;;улица Профессора Попова;Санкт-Петербург;Sendsay.ru;https://api.hh.ru/employers/37049;https://hh.ru/vacancy/34924350;RUR;100000.0;180000.0;React-разработчик (Frontend)
5;;;;;;Санкт-Петербург;Риал Тайм Технологии;https://api.hh.ru/employers/3255674;https://hh.ru/vacancy/34464424;RUR;160000.0;;Senior Frontend-разработчик (ReactJS, AngularJS, Vue.js)
6;;;;;;Санкт-Петербург;Первый ИТ Альянс;https://api.hh.ru/employers/2252649;https://hh.ru/vacancy/34871616;RUR;120000.0;150000.0;Backend developer
7;3;59.969232;30.316281;Петроградская;проспект Медиков;Санкт-Петербург;Дзенмани.ру;https://api.hh.ru/employers/1166510;https://hh.ru/vacancy/34770381;RUR;100000.0;120000.0;JavaScript-разработчик
8;5;59.917971;30.348719;;Воронежская улица;Санкт-Петербург;Quantum Art;https://api.hh.ru/employers/8188;https://hh.ru/vacancy/34241126;RUR;80000.0;130000.0;Front-end разработчик
9;5;59.987789;30.308583;Чёрная речка;Торжковская улица;Санкт-Петербург;SPN;https://api.hh.ru/employers/2536;https://hh.ru/vacancy/34787099;RUR;160000.0;;Full Stack Web Developer JS / Python (Middle) Программист
10;50;59.967358;30.299339;;Чкаловский проспект;Санкт-Петербург;Софтвайс;https://api.hh.ru/employers/4295296;https://hh.ru/vacancy/34874284;RUR;120000.0;;Front-End Developer
11;;;;Комендантский проспект;;Санкт-Петербург;Aline digital agency;https://api.hh.ru/employers/4086620;https://hh.ru/vacancy/34224038;RUR;120000.0;300000.0;Backend JS developer (node.js)
12;;;;Елизаровская;;Санкт-Петербург;Ю.Би.Си;https://api.hh.ru/employers/3854473;https://hh.ru/vacancy/34704657;RUR;;220000.0;Java, node.js Developer
13;;;;;;Санкт-Петербург;IQ Орtiоn Sоftwаre;https://api.hh.ru/employers/1876072;https://hh.ru/vacancy/33302697;RUR;;190000.0;Node.js Developer (Chats)
14;;;;Василеостровская;;Санкт-Петербург;НаПоправку.ру;https://api.hh.ru/employers/1433262;https://hh.ru/vacancy/34774453;RUR;140000.0;180000.0;Старший веб-разработчик / веб-программист (PHP/JS)
15;32;59.968362;30.388236;;Полюстровский проспект;Санкт-Петербург;Dialog;https://api.hh.ru/employers/2487053;https://hh.ru/vacancy/34851197;RUR;120000.0;;Frontend разработчик
16;34;59.941105;30.277025;Василеостровская;9-я линия В.О.;Санкт-Петербург;JUG Ru Group;https://api.hh.ru/employers/1950572;https://hh.ru/vacancy/33228321;RUR;130000.0;;Frontend-разработчик
17;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/34664714;RUR;140000.0;200000.0;Node.js developer
18;;;;;;Санкт-Петербург;Александровская Ферма;https://api.hh.ru/employers/2140879;https://hh.ru/vacancy/34909869;RUR;100000.0;140000.0;Developer (React + Node.js + MySQL).
19;2;59.980709;30.324276;Петроградская;Кантемировская;Санкт-Петербург;ALM Works;https://api.hh.ru/employers/542183;https://hh.ru/vacancy/29415269;RUR;239000.0;;Senior Frontend Developer
20;25А;59.885747;30.329531;Электросила;Цветочная улица;Санкт-Петербург;Densure;https://api.hh.ru/employers/3026046;https://hh.ru/vacancy/34622591;RUR;90000.0;110000.0;PHP-разработчик
21;7А;59.971159;30.338155;;Зеленков переулок;Санкт-Петербург;Мотифай;https://api.hh.ru/employers/4392435;https://hh.ru/vacancy/34848989;RUR;150000.0;;Frontend Developer
22;;;;Комендантский проспект;;Санкт-Петербург;Aline digital agency;https://api.hh.ru/employers/4086620;https://hh.ru/vacancy/34706472;RUR;160000.0;250000.0;Middle/Senior Frontend Javascript Developer (Vue.js)
23;;;;Петроградская;;Санкт-Петербург;РЕСТАДВАЙЗЕР;https://api.hh.ru/employers/887841;https://hh.ru/vacancy/34902435;RUR;90000.0;130000.0;PHP Middle FullStack разработчик
24;3;59.8505;30.305825;Московская;площадь Конституции;Санкт-Петербург;Webimatic;https://api.hh.ru/employers/1891995;https://hh.ru/vacancy/34613955;RUR;150000.0;;Full Stack Developer / Разработчик JavaScript/Node.js
25;32;59.968362;30.388236;;Полюстровский проспект;Санкт-Петербург;Dialog;https://api.hh.ru/employers/2487053;https://hh.ru/vacancy/33312313;RUR;180000.0;;Senior Frontend разработчик
26;;;;;;Санкт-Петербург;SmartVat Solutions;https://api.hh.ru/employers/3154153;https://hh.ru/vacancy/34709711;RUR;150000.0;220000.0;Full-stack Программист Node / JavaScript / HTML5
27;16к1;59.905583;30.266443;Нарвская;Бумажная улица;Санкт-Петербург;Акцепт-У;https://api.hh.ru/employers/664799;https://hh.ru/vacancy/34829386;RUR;50000.0;100000.0;Верстальщик HTML, frontend
28;2к2;59.908989;30.340751;Обводный Канал;Расстанная улица;Санкт-Петербург;Элисофт;https://api.hh.ru/employers/3677614;https://hh.ru/vacancy/34016969;RUR;120000.0;200000.0;Разработчик .NET full stack
29;22а;59.888487;30.327708;Московские ворота;Заставская улица;Санкт-Петербург;ТаймВэб;https://api.hh.ru/employers/230159;https://hh.ru/vacancy/32013140;RUR;;180000.0;Frontend-разработчик javascript
30;;;;;;Санкт-Петербург;Суши WOK;https://api.hh.ru/employers/1111042;https://hh.ru/vacancy/33306024;RUR;90000.0;140000.0;Frontend developer / Фронтенд разработчик (React)
31;;;;;;Санкт-Петербург;Vilesse;https://api.hh.ru/employers/1510254;https://hh.ru/vacancy/34601284;RUR;120000.0;170000.0;PHP-разработчик
32;;;;Московские ворота;;Санкт-Петербург;ТаймВэб;https://api.hh.ru/employers/230159;https://hh.ru/vacancy/31493218;RUR;;180000.0;Fullstack разработчик (PHP/JS)
33;22;59.943196;30.348971;Чернышевская;Литейный проспект;Санкт-Петербург;Alyce;https://api.hh.ru/employers/2708927;https://hh.ru/vacancy/34965557;RUR;160000.0;;PHP backend senior developer (Symfony/Laravel)
34;11к2;59.993604;30.244695;Старая Деревня;Стародеревенская улица;Санкт-Петербург;SPRINTHOST;https://api.hh.ru/employers/743207;https://hh.ru/vacancy/34679193;RUR;100000.0;;Backend-разработчик на PHP
35;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/34613071;RUR;100000.0;200000.0;Frontend Developer (Angular)
36;;;;Василеостровская;;Санкт-Петербург;НаПоправку.ру;https://api.hh.ru/employers/1433262;https://hh.ru/vacancy/32471795;RUR;90000.0;130000.0;Веб-разработчик / веб-программист (PHP/JS)
37;;;;;;Санкт-Петербург;Sibedge;https://api.hh.ru/employers/636653;https://hh.ru/vacancy/34921484;RUR;80000.0;160000.0;Middle Front-end разработчик (React)
38;;;;;;Санкт-Петербург;OneTwoTrip;https://api.hh.ru/employers/914908;https://hh.ru/vacancy/34131579;RUR;120000.0;200000.0;Разработчик JavaScript (Node.js/back-end)
39;;;;;;Санкт-Петербург;Яркий фотомаркет;https://api.hh.ru/employers/77872;https://hh.ru/vacancy/34825888;RUR;100000.0;;Frontend-разработчик
40;;59.997482;30.363623;Площадь Мужества;Политехническая улица;Санкт-Петербург;ПЭРКо;https://api.hh.ru/employers/1100295;https://hh.ru/vacancy/34917318;RUR;130000.0;;Frontend разработчик (Node.js)
41;83;59.985665;30.252636;Старая Деревня;улица Савушкина;Санкт-Петербург;Lenvendo;https://api.hh.ru/employers/1227460;https://hh.ru/vacancy/34883285;RUR;90000.0;130000.0;Front-end developer/ JavaScript developer
42;112к2литЗ;59.866739;30.471277;;проспект Обуховской Обороны;Санкт-Петербург;Game of whales Ltd;https://api.hh.ru/employers/3767482;https://hh.ru/vacancy/34921752;USD;3000.0;4000.0;Senior Developer (NodeJS)
43;;;;;;Санкт-Петербург;Alloy Software Inc.;https://api.hh.ru/employers/278499;https://hh.ru/vacancy/34926711;RUR;100000.0;200000.0;Web-программист
44;39Д;59.94262;30.364153;Чернышевская;улица Радищева;Санкт-Петербург;Расчетные системы;https://api.hh.ru/employers/49569;https://hh.ru/vacancy/34579559;RUR;70000.0;100000.0;JavaScript разработчик
45;;;;;;Санкт-Петербург;БТК девелопмент;https://api.hh.ru/employers/567574;https://hh.ru/vacancy/33833776;RUR;90000.0;;Веб-программист
46;50;59.967358;30.299339;;Чкаловский проспект;Санкт-Петербург;Софтвайс;https://api.hh.ru/employers/4295296;https://hh.ru/vacancy/34909077;RUR;139000.0;175000.0;Middle to Senior PHP Developer / Разработчик на PHP
47;18;59.934231;30.31029;;Малая Морская улица;Санкт-Петербург;Spark Equation;https://api.hh.ru/employers/1787419;https://hh.ru/vacancy/34910818;RUR;150000.0;200000.0;Senior Frontend Engineer
48;;;;;;Санкт-Петербург;Sborka Project;https://api.hh.ru/employers/1588282;https://hh.ru/vacancy/34970056;RUR;140000.0;;Senior Front-end разработчик
