;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
0;Frontend-разработчик (Vue.js + Canvas);180000.0;200000.0;RUR;Санкт-Петербург;Бсп;https://api.hh.ru/employers/5039640;https://hh.ru/vacancy/40696030;;;;;
1;Frontend разработчик (React.js);;4500.0;USD;Санкт-Петербург;Tango Me;https://api.hh.ru/employers/3266823;https://hh.ru/vacancy/40654605;Горьковская;улица Кропоткина;1;30.311583;59.959251
2;Front-End Developer (Vue.js);1500.0;;EUR;Санкт-Петербург;TR Logic LLC;https://api.hh.ru/employers/2898081;https://hh.ru/vacancy/40287819;;;;;
3;Front-end developer React JS (удаленно);150000.0;;RUR;Санкт-Петербург;Helastel;https://api.hh.ru/employers/4166575;https://hh.ru/vacancy/40350471;;;;;
4;Frontend-разработчик (Vue.js);120000.0;160000.0;RUR;Санкт-Петербург;DNA Team;https://api.hh.ru/employers/4641786;https://hh.ru/vacancy/40254853;;;;;
5;Middle/Senior Frontend-разработчик (Vue.js);120000.0;;RUR;Санкт-Петербург;Зорин Максим Александрович;https://api.hh.ru/employers/3929600;https://hh.ru/vacancy/40383636;;Невский проспект;22-24;30.324097;59.935944
6;Frontend-разработчик (Middle);120000.0;160000.0;RUR;Санкт-Петербург;Ticketland.ru;https://api.hh.ru/employers/706399;https://hh.ru/vacancy/40394428;;набережная Обводного канала;;30.329325;59.912256
7;Frontend Developer Vue, JavaScript/TypeScript;120000.0;200000.0;RUR;Санкт-Петербург;Plumsail;https://api.hh.ru/employers/1752125;https://hh.ru/vacancy/40679871;Невский проспект;Садовая улица;23/6;30.325103;59.930173
8;Frontend-разработчик (Middle);125000.0;140000.0;RUR;Санкт-Петербург;Tools For Brokers;https://api.hh.ru/employers/1307507;https://hh.ru/vacancy/40257382;Ладожская;проспект Энергетиков;3;30.43768;59.931012
9;Full Stack Developer C# and JavaScript/TypeScript (React or Vue);120000.0;200000.0;RUR;Санкт-Петербург;Plumsail;https://api.hh.ru/employers/1752125;https://hh.ru/vacancy/39683460;Невский проспект;Садовая улица;23/6;30.325103;59.930173
10;Web-программист;150000.0;200000.0;RUR;Санкт-Петербург;Семенова Екатерина Сергеевна;https://api.hh.ru/employers/5059497;https://hh.ru/vacancy/40596548;;;;;
11;Frontend-разработчик (React);80000.0;160000.0;RUR;Санкт-Петербург;VIEWGIN;https://api.hh.ru/employers/5033181;https://hh.ru/vacancy/40404470;;;;;
12;Frontend-разработчик;140000.0;;RUR;Санкт-Петербург;ФАН;https://api.hh.ru/employers/2412618;https://hh.ru/vacancy/40475542;;Приморский проспект;78к5;30.186502;59.988055
13;Frontend developer (React);170000.0;;RUR;Санкт-Петербург;Mygento eCommerce Solutions;https://api.hh.ru/employers/1643357;https://hh.ru/vacancy/38781907;Чернышевская;улица Чайковского;79;30.3656851865;59.9462288217
14;Backend-разработчик, NodeJS;170000.0;250000.0;RUR;Санкт-Петербург;Soccer Science;https://api.hh.ru/employers/5069248;https://hh.ru/vacancy/40712266;;улица Савушкина;126Б;30.202743;59.985926
15;Senior Backend Developer (Node.js);;300000.0;RUR;Санкт-Петербург;StreamLayer Inc;https://api.hh.ru/employers/4680544;https://hh.ru/vacancy/40333947;;;;;
16;Senior Front-end разработчик (React, typescript);;300000.0;RUR;Санкт-Петербург;StreamLayer Inc;https://api.hh.ru/employers/4680544;https://hh.ru/vacancy/40333454;;;;;
17;Node.js developer удаленно;140000.0;200000.0;RUR;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/38801519;Горьковская;;;;
18;Front End разработчик;95000.0;;RUR;Санкт-Петербург;Планоплан;https://api.hh.ru/employers/2672202;https://hh.ru/vacancy/40572753;;Магнитогорская улица;30;30.422031;59.939532
19;Web-разработчик (PHP, JS);400.0;3000.0;USD;Санкт-Петербург;BeeJee;https://api.hh.ru/employers/2092867;https://hh.ru/vacancy/40539642;Выставочный центр;Васильковская улица;100;30.478275;50.382207
20;Frontend-Developer;120000.0;170000.0;RUR;Санкт-Петербург;ЭДГОУ;https://api.hh.ru/employers/1840251;https://hh.ru/vacancy/40294373;Чкаловская;;;;
