;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
0;Web Fullstack Developer (PHP/JS);3700.0;4000.0;EUR;Санкт-Петербург;Wisebits;https://api.hh.ru/employers/1689648;https://hh.ru/vacancy/41545465;;;;;
1;PHP-разработчик;150000.0;150000.0;RUR;Санкт-Петербург;Майер;https://api.hh.ru/employers/37224;https://hh.ru/vacancy/40704972;Чернышевская;Шпалерная улица;8;30.344461;59.948622
2;PHP-разработчик;140000.0;200000.0;RUR;Санкт-Петербург;МКК «Макс.Кредит»;https://api.hh.ru/employers/2807185;https://hh.ru/vacancy/40246822;;;;;
3;Backend PHP Developer / РHP Разработчик;140000.0;;RUR;Санкт-Петербург;Софтвайс;https://api.hh.ru/employers/4295296;https://hh.ru/vacancy/41177205;;Чкаловский проспект;50;30.299339;59.967358
4;PHP-developer/ PHP-программист;130000.0;150000.0;RUR;Санкт-Петербург;Digift;https://api.hh.ru/employers/3881763;https://hh.ru/vacancy/41649588;Старая Деревня;улица Савушкина;83к3;30.250013;59.985003
5;Senior PHP developer (удаленно);230000.0;;RUR;Санкт-Петербург;Барышев Игорь Александрович;https://api.hh.ru/employers/5028018;https://hh.ru/vacancy/41511565;;;;;
6;Senior Backend Developer PHP;180000.0;;RUR;Санкт-Петербург;Helastel;https://api.hh.ru/employers/4166575;https://hh.ru/vacancy/40220391;;;;;
7;Senior PHP developer (Laravel) удаленно;150000.0;200000.0;RUR;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/38801517;Горьковская;;;;
8;Fullstack разработчик;100000.0;;RUR;Санкт-Петербург;SmartLeads;https://api.hh.ru/employers/1735867;https://hh.ru/vacancy/40808452;Горьковская;улица Чапаева;5;30.332729;59.958791
9;PHP разработчик, бэкэнд (Middle/Senior);100000.0;180000.0;RUR;Санкт-Петербург;Zaauto;https://api.hh.ru/employers/3148609;https://hh.ru/vacancy/41481564;Нарвская;Двинская улица;3;30.255977;59.909391
10;Программист PHP;140000.0;180000.0;RUR;Санкт-Петербург;WEB2U;https://api.hh.ru/employers/1001638;https://hh.ru/vacancy/41524930;;проспект Испытателей;39;30.264269;60.00792
11;PHP-программист;100000.0;150000.0;RUR;Санкт-Петербург;Fort Financial Services;https://api.hh.ru/employers/1049395;https://hh.ru/vacancy/41410268;;;;;
12;Backend разработчик (Middle PHP developer);120000.0;;RUR;Санкт-Петербург;ЭДГОУ;https://api.hh.ru/employers/1840251;https://hh.ru/vacancy/41028890;;;;;
13;PHP-разработчик;120000.0;;RUR;Санкт-Петербург;Интерактивные обучающие технологии;https://api.hh.ru/employers/1331661;https://hh.ru/vacancy/41510968;Петроградская;набережная реки Карповки;5П;30.31735;59.968322
14;PHP-разработчик (Symfony);100000.0;200000.0;RUR;Санкт-Петербург;UnitPay;https://api.hh.ru/employers/3344653;https://hh.ru/vacancy/39980884;;;;;
15;PHP Developer;1500.0;;EUR;Санкт-Петербург;TR Logic LLC;https://api.hh.ru/employers/2898081;https://hh.ru/vacancy/41423999;;;;;
16;PHP-разработчик;120000.0;;RUR;Санкт-Петербург;МАВИС;https://api.hh.ru/employers/631288;https://hh.ru/vacancy/40665891;;;;;
17;PHP-программист;130000.0;;RUR;Санкт-Петербург;ЕТелеком;https://api.hh.ru/employers/894414;https://hh.ru/vacancy/41540915;Озерки;Выборгское шоссе;36;30.315293;60.041247
18;PHP-разработчик;100000.0;;RUR;Санкт-Петербург;КВАДО.РУ;https://api.hh.ru/employers/1822740;https://hh.ru/vacancy/41449748;;проспект Юрия Гагарина;77;30.334293;59.838272
