;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
0;Python Developer (startup);170000.0;230000.0;RUR;Санкт-Петербург;Храмцова Полина Владимировна;https://api.hh.ru/employers/3685637;https://hh.ru/vacancy/41090860;;;;;
1;Python developer удаленно;150000.0;200000.0;RUR;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/41482164;Горьковская;;;;
2;Программист Python;100000.0;200000.0;RUR;Санкт-Петербург;Productive heads;https://api.hh.ru/employers/875212;https://hh.ru/vacancy/41116259;;;;;
3;Python-разработчик (Middle);;220000.0;RUR;Санкт-Петербург;Латера;https://api.hh.ru/employers/1050345;https://hh.ru/vacancy/41650810;;улица Юности;8;37.223832;55.999017
4;Data Scientist;150000.0;200000.0;RUR;Санкт-Петербург;Софтвайс;https://api.hh.ru/employers/4295296;https://hh.ru/vacancy/40966597;;Чкаловский проспект;50;30.299339;59.967358
5;Python Developer;200000.0;;RUR;Санкт-Петербург;Hype Auditor;https://api.hh.ru/employers/4431300;https://hh.ru/vacancy/41528148;Горьковская;Певческий переулок;12;30.325264;59.960134
6;Разработчик в области компьютерного зрения (computer vision);120000.0;;RUR;Санкт-Петербург;M-soft;https://api.hh.ru/employers/3507672;https://hh.ru/vacancy/41544593;;;;;
7;Middle Python Developer;130000.0;150000.0;RUR;Санкт-Петербург;HR-PROFI;https://api.hh.ru/employers/1883675;https://hh.ru/vacancy/41057457;;;;;
8;Python developer;;200000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/40928057;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
9;Senior/ Программист Python;150000.0;;RUR;Санкт-Петербург;Digift;https://api.hh.ru/employers/3881763;https://hh.ru/vacancy/40836909;Старая Деревня;улица Савушкина;83к3;30.250013;59.985003
10;QA engineer (Selenium + Python);100000.0;160000.0;RUR;Санкт-Петербург;AIPeople;https://api.hh.ru/employers/3367342;https://hh.ru/vacancy/41511859;Чернышевская;;;;
11;Senior Python Engineer (Remote);210000.0;260000.0;RUR;Санкт-Петербург;Spark Equation;https://api.hh.ru/employers/1787419;https://hh.ru/vacancy/40605517;;;;;
12;Python разработчик;100000.0;;RUR;Санкт-Петербург;Селфсек;https://api.hh.ru/employers/4920624;https://hh.ru/vacancy/41417222;;;;;
13;Backend developer (Python);100000.0;150000.0;RUR;Санкт-Петербург;Энерджи Софт;https://api.hh.ru/employers/1316284;https://hh.ru/vacancy/40858154;;Ковенский переулок;19-21;30.361449;59.937157
14;Python App Backend Developer;100000.0;160000.0;RUR;Санкт-Петербург;Cindicator;https://api.hh.ru/employers/2068941;https://hh.ru/vacancy/41040032;;;;;
15;Программист Python;;150000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/40924831;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
16;Python developer;150000.0;200000.0;RUR;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/36267290;Горьковская;;;;
17;Программист Computer Vision;120000.0;180000.0;RUR;Санкт-Петербург;Аргуссофт;https://api.hh.ru/employers/4665148;https://hh.ru/vacancy/41068521;;улица Александра Блока;5;30.278678;59.924582
18;Python-разработчик;60000.0;100000.0;RUR;Санкт-Петербург;Единая Информационная Система ЖКХ;https://api.hh.ru/employers/3719126;https://hh.ru/vacancy/41514962;;Тарасова улица;12/18;30.413964;59.949713
19;Senior Python developer;150000.0;220000.0;RUR;Санкт-Петербург;First_Line;https://api.hh.ru/employers/3863113;https://hh.ru/vacancy/41065647;;;;;
20;Python-разработчик;200000.0;;RUR;Санкт-Петербург;Новакид РУС;https://api.hh.ru/employers/851716;https://hh.ru/vacancy/41620379;;;;;
21;Python разработчик (Middle+/Senior);120000.0;;RUR;Санкт-Петербург;KOTELOV;https://api.hh.ru/employers/843093;https://hh.ru/vacancy/41481585;Владимирская;Загородный проспект;5;30.344884;59.927297
22;Python-разработчик;140000.0;;RUR;Санкт-Петербург;ТаймВэб;https://api.hh.ru/employers/230159;https://hh.ru/vacancy/40573887;;;;;
